id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
TiaVicente-Vicente894;Tiago Vicente-Vicente;tiavicente-vicente894@li3.pt;+351925119344;1998/08/09;M;ZX017364;PT;;2019/10/29 12:27:47;cash;active
EduarBorges;Eduarda Borges;eduarborges@li3.pt;(351) 966 365 322;1974/03/31;F;;PT;Alameda de Antunes, 40097-533 Santo Tirso;2017/03/20 19:08:33;cash;active
EmAmaral;Emanuel Amaral;emamaral@li3@pt;218 687 809;1995/09/02;M;LR703640;PT;Largo Costa, 4815565-959 Coimbra;2018/05/30 12:13:09;cash;active
FLima;Filipa Lima;flima@li3.pt;280 127 918;1990/12/04;F;;PT;Avenida de Cruz, 102966-235 Lamego;2017/12/21 02:40:37;debit_card;active
NaiLoureiro-Campos1763;Nair Loureiro-Campos;nailoureiro-campos1763@li3.pt;(351) 939604782;2000/07/02;F;TV303381;E;Praça Marcos Martins, 775879-679 Santa Cruz;2019/04/12 09:03:02;cash;active
NelsRamos574;Nelson Ramos;nelsramos574@li3.pt;928 581 430;1952/11/13;M;XY719868;PT;Rua Henriques, 5529599-291 Reguengos de Monsaraz;;cash;active
JéNogueira1569;Jéssica de Nogueira;jénogue;(351) 965 356 012;1971/07/08;F;XH378585;PT;Rua Catarina Miranda, 191713-548 Póvoa de Varzim;2010/03/24 07:44:48;cash;active
MárGarcia;Márcio Garcia;márgarcia@li3.pt;;1976/06/19;M;UJ048756;PT;Travessa do Alto de São João, 435745-863 Pinhel;2016/07/06 22:50:49;credit_card;active
MiriMorais;Miriam Morais;mirimor;(351) 920 337 187;1967/06/28;F;GN549296;PT;Av Letícia Azevedo, S/N4025-266 Quarteira;2012/03/14 11:19:38;credit_card;active
TGarcia1886;Tiago Garcia;tgarcia1886@li3@pt;200869481;1978/06/09;M;IF914980;PT;Largo de Pinheiro, 58939-175 Santa Comba Dão;2015/02/21 04:09:51;credit_card;active
LTeixeira1105;Lisandro Teixeira;lteixeira1105@li3.pt;(351) 912 937 666;1994/09/02;M;GF002488;SHA;Av de Faria, 4523482-104 Covilhã;2013/03/19 13:32:53;cash;active
BriMarques1971;Brian Marques;brimarques1971@li3.pt;(351) 929021265;1954/04/21;M;BO739685;PT;;2016/06/20 14:43:08;debit_card;active
JoPires1273;Joana Pires;jopires1273@li3.pt;920819226;1952/11/24;F;HN732182;PT;Rua de Macedo, S/N3661-619 Torres Vedras;2012/04/26 05:14:18;debit_card;HN732182
GMoreira879;Gabriel Moreira;gmoreira879@li3.pt;(351) 243 513 007;1956/01/14;M;DG303207;PT;Alameda Fernandes, 448212-584 Ponte de Sor;;cash;active
;Sebastião Rodrigues;sebastiãrodrigues@li3.pt;931867126;1968/07/10;M;WW842311;PT;Avenida de José Régio, 79577-029 Lagos;2019/03/16 15:14:16;cash;active
