id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000143;Iberia;Airbus A321;220;MAD;LIS;2021/06/20 08:52:37;2021/06/20 10:07:37;2021/06/20 08:52:37;2021/06/20 11:27:37;;Sarah Davis;
0000000150;Scandinavian Airlines (SAS);Boeing 737;160;arN;HEL;2021/01/05 07:26:59;2021/01/05 06:16:59;2021/01/05 07:01:59;2021/01/05 09:41:59;Jane Smith;Sarah Johnson;
0000000151;EasyJet;Airbus A320;180;LHR;CDG;2021|03|21 17:52:19;2021/03/21 19:07:19;2021/03/21 18:12:19;2021/03/21 20:42:19;Robert Miller;Laura Smith;
0000000173;;Airbus A320;250;SVO;TXL;2023/02/20 07:59:21;2023/02/20 11:14:21;2023/02/20 07:59:21;2023/02/20 14:29:21;Jane Moore;Sarah Williams;Smooth takeoff, great weather today!
0000000188;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/11/06 13:07:51;2022/11/06 14:17:51;2022/11/06 15:52:51;2022/11/06 13:12:51;Jane Smith;Sarah Johnson;Cabin pressure and temperature are within normal ranges.
0000000199;Iberia;Airbus A321;220;MAD;LIS;2023/07/20 12:06:40;2023/07/20 10:51:40;2023/07/20 11:21:40;2023/07/20 14:11:40;Robert Miller;Sarah Davis;
0000000201;;Embraer E190;100;WAW;BUD;2023/07/03 09:21:34;2023/07/03 10:36:34;2023/07/03 10:06:34;2023/07/03 12:51:34;Sarah Smith;Robert Miller;We appreciate your patience during the delay.
0000000203;Swiss International Air Lines;Airbus A319;140;Lisbon;MXP;2022/08/12 16:54:13;2022/08/12 17:39:13;2022/08/12 16:54:13;2022/08/12 18:29:13;Sarah Williams;John Davis;Our company invests in the latest aviation technology.
0000000214;EasyJet;Airbus A320;180;LHR;CDG;2021/08/06 10:30:26;2021/08/06 11:45:26;2021/08/06 13:30:26;2021/08/06 10:30:26;Robert Miller;Laura Smith;
0000000242;;Airbus A320;180;AMS;NCE;2021/02/09 15:34:39;2021/02/09 17:54:39;2021/02/09 15:34:39;2021/02/09 20:44:39;Laura Davis;Robert Davis;
0000000243;;Boeing 737;189;DUB;TXL;2023/08/20 13:16:04;2023/08/20 15:16:04;2023/08/20 13:21:04;2023/08/20 17:51:04;Emily Davis;Sarah Williams;Cargo loading and unloading is proceeding smoothly.
0000000248;Alitalia;Boeing 767;280;FCO;ATH;2021/11/03 07:19:34;2021/11/03 05:19:34;2021/11/03 05:19:34;2021/11/03 09:19:34;David Johnson;William Brown;
0000000254;;Boeing 737;160;ARN;HEL;2022/11/09 17:49:35;2022/11/09 18:59:35;2022/11/09 17:49:35;2022/11/09 20:09:35;Jane Smith;Sarah Johnson;
0000000256;EasyJet;Airbus A320;K;LHR;CDG;2022/12/15 09:09:37;2022/12/15 10:24:37;2022/12/15 09:09:37;2022/12/15 11:59:37;Robert Miller;Laura Smith;
0000000262;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/04/11 09:36:47;2021/04/11 11:06:47;2021/04/11 12:36:47;2021/04/11 09:36:47;Emily Williams;Michael Smith;
0000000278;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/06/11 11:24:35;2021/06/11 12:14:35;2021/06/11 11:54:35;2021|06|11 13:34:35;Michael Johnson;Robert Wilson;Our fuel consumption is on track with the flight plan.
0000000288;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/12/07 01:01:29;2021/12/07 02:11:29;2021/12/07 01:16:29;2021/12/07 03:36:29;Jane Smith;;
0000000292;Air France;Airbus A321;NRL;CDG;FCO;2023/08/14 02:34:14;2023/08/14 04:19:14;2023/08/14 02:34:14;2023/08/14 06:09:14;Emily Johnson;Sarah Smith;
0000000303;Aer Lingus;Airbus A320;180;DUB;LIS;27/08/2004;2023/02/10 15:17:54;2023/02/10 12:37:54;2023/02/10 18:52:54;William Williams;Olivia Johnson;
0000000318;Iberia;;220;MAD;LIS;2022/07/18 12:28:46;2022/07/18 13:43:46;2022/07/18 13:13:46;2022/07/18 15:43:46;Robert Miller;Sarah Davis;We apologize for any inconvenience caused.
0000000320;TAP Air Portugal;Airbus A320;200;PrAgUE;MAD;2021/09/06 04:08:48;2021/09/06 05:18:48;2021/09/06 04:08:48;2021/09/06 06:43:48;Emily Wilson;Jane Smith;The flight attendants are preparing for landing.
0000000323;Turkish Airlines;;200;IST;PRG;2023/01/06 09:23:18;2023/01/06 11:53:18;2023/01/06 09:43:18;2023/01/06 14:43:18;Jane Miller;Laura Taylor;We have a slight delay due to air traffic.
;Transavia;Airbus A320;180;AMS;NCE;2022/08/07 02:07:26;2022/08/07 04:27:26;2022/08/07 02:07:26;2022/08/07 06:47:26;Laura Davis;Robert Davis;Our company invests in the latest aviation technology.
0000000365;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/04/07 10:27:33;2022/04/07 11:17:33;2022/04/07 10:57:33;2022/04/07 12:37:33;Michael Johnson;;
0000000368;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/07/01~03:23:40;2023/07/01 05:48:40;2023/07/01 03:38:40;2023/07/01 08:58:40;John Moore;David Miller;
0000000370;;Airbus A320;250;SVO;TXL;2022/07/21 10:40:56;2022/07/21 13:55:56;2022/07/21 10:40:56;2022/07/21 17:10:56;Jane Moore;Sarah Williams;
;TAP Air Portugal;Airbus A320;200;LIS;MAD;2023/08/05 17:30:17;2023/08/05 18:40:17;2023/08/05 17:50:17;2023/08/05 20:10:17;Emily Wilson;Jane Smith;
0000000379;Scandinavian Airlines (SAS);Boeing 737;160;Madrid;HEL;2022/03/19 00:34:03;2022/03/19 01:44:03;2022/03/19 00:34:03;2022/03/19 03:09:03;Jane Smith;Sarah Johnson;
0000000381;British Airways;;150;LHR;ams;2023/01/21 12:59:55;2023/01/21 14:09:55;2023/01/21 13:44:55;2023/01/21 16:19:55;Robert Taylor;Sarah Smith;
0000000390;;Boeing 737;160;CPH;OSL;2022/09/15 11:01:49;2022/09/15 12:01:49;2022/09/15 11:16:49;2022/09/15 13:46:49;Michael Smith;David Miller;
0000000395;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/06/12 06:34:42;2023/06/12 04:09:42;2023/06/12 04:09:42;2023/06/12 09:29:42;John Moore;David Miller;
0000000419;Ryanair;Boeing 737;189;DUB;TXL;2021/11/09 00:02:09;2021/11/09 02:02:09;2021/11/09 00:02:09;23/10/2006;Emily Davis;Sarah Williams;
0000000424;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/02/08 07:32:02;2022/02/08 09:02:02;2022/02/08 11:02:02;2022/02/08 08:02:02;Emily Williams;Michael Smith;
;Aer Lingus;Airbus A320;180;DUB;LIS;2021/06/09 16:19:03;2021/06/09 19:19:03;2021/06/09 17:04:03;2021/06/09 23:19:03;William Williams;Olivia Johnson;
0000000426;;Boeing 777;300;FRA;MAD;2021/12/08 15:03:48;2021/12/08 17:33:48;2021/12/08 15:08:48;2021/12/08 20:38:48;John Johnson;David Brown;
0000000432;Vueling Airlines;Airbus A319;160;bcN;Budapest;2021/03/13 14:26:47;2021/03/13 16:16:47;2021/03/13 14:41:47;2021/03/13 18:36:47;Laura Moore;Jane Williams;
0000000433;;Airbus A320;180;LHR;CDG;2022/11/10 10:47:33;2022/11/10 12:02:33;2022/11/10 10:47:33;2022/11/10 13:32:33;Robert Miller;Laura Smith;
0000000460;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/06/18 15:18:35;2022/06/18 16:08:35;2022/06/18 15:18:35;2022|06|18 17:13:35;Michael Johnson;Robert Wilson;
0000000468;Alitalia;Boeing 767;280;FCO;ATH;2021/03/05 05:11:55;2021/03/05 07:11:55;2021/03/05 05:11:55;03:40:41 AM/11/05/2022;David Johnson;William Brown;Cargo loading and unloading is proceeding smoothly.
0000000480;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;09:42:03 AM/13/04/2016;2023/05/17 07:03:26;2023/05/17 06:23:26;2023/05/17 08:53:26;William Moore;Laura Taylor;
0000000481;Turkish Airlines;Airbus A320;200;IST;PRG;06/01/2020;2023/07/08 12:50:27;2023/07/08 10:35:27;2023/07/08 16:20:27;Jane Miller;Laura Taylor;
0000000484;Jet2.com;;220;MAN;PRG;2022/08/10 10:49:20;2022/08/10 13:19:20;2022/08/10 10:49:20;2022/08/10 15:49:20;Robert Davis;Jane Taylor;
0000000494;;Airbus A320;250;SVO;TXL;2022/03/18 11:20:30;2022/03/18 14:35:30;2022/03/18 11:20:30;2022/03/18 18:35:30;Jane Moore;Sarah Williams;
0000000502;British Airways;Boeing 737;150;LHR;AMS;2022/07/19 01:01:11;2022/07/19 02:11:11;2022/07/19 01:01:11;07:28:24 PM/24/09/2001;Robert Taylor;Sarah Smith;
0000000503;LOT Polish Airlines;Embraer E190;AVG;WAW;BUD;2022/04/11 12:38:20;2022/04/11 13:53:20;2022/04/11 12:53:20;2022/04/11 15:23:20;Sarah Smith;Robert Miller;
0000000504;Air France;Airbus A321;220;CDG;FCO;;2022/09/07 16:01:29;2022/09/07 15:01:29;2022/09/07 19:01:29;Emily Johnson;Sarah Smith;
0000000510;Turkish Airlines;Airbus A320;200;IST;PRG;2022/08/22 12:57:36;2022/08/22 15:27:36;2022/08/22 18:32:36;2022/08/22 13:12:36;Jane Miller;Laura Taylor;
0000000511;;Boeing 737;160;CPH;OSL;2021/01/22 14:19:20;2021/01/22 15:19:20;2021/01/22 14:19:20;2021/01/22 16:34:20;Michael Smith;David Miller;
0000000513;LOT Polish Airlines;;100;WAW;BUD;2022/12/18 11:13:51;2022/12/18 12:28:51;2022/12/18 11:28:51;2022/12/18 14:43:51;Sarah Smith;Robert Miller;Cargo loading and unloading is proceeding smoothly.
0000000517;Turkish Airlines;Airbus A320;200;IST;PRG;2022/09/22 07:15:36;2022/09/22 09:45:36;2022/09/22 07:15:36;2022/09/22 12:45:36;Jane Miller;;
;Vueling Airlines;Airbus A319;160;BCN;FCO;2023/08/12 01:17:53;2023/08/12 03:07:53;2023/08/12 01:17:53;2023/08/12 04:57:53;Laura Moore;Jane Williams;
0000000521;EasyJet;Airbus A320;180;Athens;CDG;2023/06/21 03:17:24;2023/06/21 04:32:24;2023/06/21 04:02:24;2023/06/21 06:47:24;Robert Miller;Laura Smith;
0000000530;Iberia;Airbus A321;220;MAD;LIS;04:03:27 PM/29/04/2003;2023/06/06 02:31:55;2023/06/06 02:01:55;2023/06/06 04:31:55;Robert Miller;Sarah Davis;
0000000564;Ryanair;Boeing 737;189;DUB;BCN;2023/01/04 11:34:48;2023/01/04 14:19:48;2023/01/04 11:34:48;2023|01|04 17:19:48;Sarah Brown;David Wilson;
0000000579;Turkish Airlines;Airbus A320;XBZ;IST;PRG;2021/10/03 04:47:43;2021/10/03 07:17:43;2021/10/03 05:07:43;2021/10/03 10:07:43;Jane Miller;Laura Taylor;
0000000589;EasyJet;Airbus A320;180;LHR;CDG;2021/02/17 10:33:44;2021/02/17 11:48:44;2021/02/17 10:33:44;08/09/2015;Robert Miller;Laura Smith;Ground staff is ready to assist with the aircraft's arrival.
0000000601;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/04/22 16:58:19;2021/04/22 17:48:19;2021/04/22 16:58:19;2021/04/22 18:58:19;;Robert Wilson;
0000000612;Lufthansa;Boeing 777;300;FRA;MAD;2022/09/19 11:04:53;2022/09/19 13:34:53;2022/09/19 16:34:53;2022/09/19 11:04:53;John Johnson;David Brown;
0000000623;Aeroflot;Airbus A320;250;SVO;TXL;2022/07/12 13:51:46;2022/07/12 17:06:46;2022/07/12 13:51:46;2022/07/12~20:21:46;Jane Moore;Sarah Williams;
0000000644;Turkish Airlines;Airbus A320;200;IST;PRG;01/03/2016;2021/08/14 07:38:14;2021/08/14 05:53:14;2021/08/14 11:23:14;Jane Miller;Laura Taylor;
0000000649;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2021/01/15 11:12:57;2021/01/15 11:57:57;2021/01/15 11:12:57;2021/01/15 12:57:57;Sarah Williams;;
0000000653;Aer Lingus;Airbus A320;180;DUB;Berlin;2021/02/09 11:31:23;2021/02/09 14:31:23;2021/02/09 12:16:23;2021/02/09 18:16:23;William Williams;Olivia Johnson;
0000000654;EasyJet;;180;LHR;CDG;2022/06/14 04:39:40;2022/06/14 05:54:40;2022/06/14 04:39:40;2022/06/14 07:09:40;Robert Miller;Laura Smith;We apologize for any inconvenience caused.
0000000674;Vueling Airlines;Airbus A319;160;BCN;FCO;2023/05/05 10:03:44;2023/05/05 11:53:44;2023/05/05 10:18:44;2023|05|05 13:58:44;Laura Moore;Jane Williams;
0000000682;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/04/10 09:44:55;2021/04/10 11:34:55;2021/04/10 09:44:55;2021/04/10~13:24:55;Laura Moore;Jane Williams;
0000000708;Aer Lingus;Airbus A320;180;DUB;LIS;2022/06/12 09:30:45;2022/06/12 12:30:45;2022/06/12 09:30:45;2022/06/12 15:30:45;;Olivia Johnson;
0000000733;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/11/09 06:44:23;2021/11/09 07:44:23;2021/11/09 06:59:23;2021/11/09 09:04:23;William Moore;;
0000000740;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/03/10 06:18:42;2022/03/10 08:43:42;2022/03/10 06:48:42;2022/03/10 11:53:42;;David Miller;
0000000755;Ukraine International Airlines;;120;KBP;WAW;2023/03/15 16:19:11;2023/03/15 17:49:11;2023/03/15 16:39:11;2023/03/15 19:39:11;Emily Williams;Michael Smith;
0000000766;Scandinavian Airlines (SAS);Boeing 737;160;Rome;HEL;2022/04/17 03:16:34;2022/04/17 04:26:34;2022/04/17 03:46:34;2022/04/17 06:06:34;Jane Smith;Sarah Johnson;
0000000778;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/03/07~03:38:59;2022/03/07 04:48:59;2022/03/07 03:38:59;2022/03/07 06:18:59;Jane Smith;Sarah Johnson;
0000000780;Ukraine International Airlines;;120;KBP;WAW;2021/05/22 09:34:34;2021/05/22 11:04:34;2021/05/22 09:34:34;2021/05/22 12:34:34;Emily Williams;Michael Smith;
0000000784;Ryanair;Boeing 737;189;DUB;TXL;;2023/06/22 14:39:59;2023/06/22 12:39:59;2023/06/22 16:39:59;Emily Davis;Sarah Williams;
0000000785;Aer Lingus;Airbus A320;W;DUB;LIS;2023/03/16 02:00:35;2023/03/16 05:00:35;2023/03/16 02:00:35;2023/03/16 08:05:35;William Williams;Olivia Johnson;Our airline is proud of its safety record.
0000000821;Aeroflot;Airbus A320;250;SVO;TXL;2023/03/14 15:10:26;2023/03/14 18:25:26;2023/03/14 22:25:26;2023/03/14 15:10:26;Jane Moore;Sarah Williams;
0000000828;Transavia;Airbus A320;180;AMS;NCE;2021/08/11 12:18:25;2021/08/11 14:38:25;2021/08/11 12:18:25;12:08:20 PM/20/09/2010;Laura Davis;Robert Davis;
0000000844;Scandinavian Airlines (SAS);Boeing 737;160;ARN;Warsaw;2021/06/04 16:44:42;2021/06/04 17:54:42;2021/06/04 17:04:42;2021/06/04 19:54:42;Jane Smith;Sarah Johnson;The catering service provided delicious meals.
0000000848;British Airways;Boeing 737;150;LHR;aMS;2023/07/17 03:08:11;2023/07/17 04:18:11;2023/07/17 03:38:11;2023/07/17 06:13:11;;Sarah Smith;
0000000865;EasyJet;Airbus A320;180;LHR;CDG;11:58:44 AM/29/09/2006;2022/03/11 13:26:35;2022/03/11 12:26:35;2022/03/11 14:56:35;Robert Miller;Laura Smith;The cockpit crew is constantly monitoring systems.
0000000874;EasyJet;Airbus A320;180;LHR;CDG;2023/04/21 10:04:13;2023/04/21 11:19:13;2023/04/21 13:34:13;2023/04/21 10:49:13;Robert Miller;Laura Smith;
0000000889;British Airways;Boeing 737;150;LHR;Amsterdam;2023/02/14 07:13:54;2023/02/14 08:23:54;2023/02/14 07:18:54;2023/02/14 09:43:54;Robert Taylor;Sarah Smith;
;Transavia;Airbus A320;180;AMS;NCE;2022/02/10 01:31:12;2022/02/10 03:51:12;2022/02/10 02:01:12;2022/02/10 06:41:12;Laura Davis;Robert Davis;
0000000927;Aeroflot;;250;SVO;TXL;2021/12/08 17:21:29;2021/12/08 20:36:29;2021/12/08 18:06:29;2021/12/09 01:21:29;Jane Moore;Sarah Williams;
0000000929;Turkish Airlines;Airbus A320;200;Paris;PRG;2023/03/03 00:35:49;2023/03/03 03:05:49;2023/03/03 00:40:49;2023/03/03 05:55:49;Jane Miller;Laura Taylor;
0000000933;Ryanair;Boeing 737;189;DUB;TXL;2023/05/07 16:32:28;2023/05/07 18:32:28;2023/05/07 16:52:28;2023|05|07 20:52:28;Emily Davis;Sarah Williams;
0000000937;British Airways;Boeing 737;150;LHR;AMS;2023/05/15 18:14:06;2023/05/15 17:04:06;2023/05/15 17:34:06;2023/05/15 19:54:06;Robert Taylor;Sarah Smith;
0000000943;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/02/15 14:36:58;2022/02/15 15:21:58;2022/02/15 14:51:58;2022/02/15 16:41:58;;John Davis;
0000000952;Iberia;Airbus A321;220;MAD;LIS;2023/01/05~12:06:14;2023/01/05 13:21:14;2023/01/05 12:51:14;2023/01/05 15:26:14;Robert Miller;Sarah Davis;
0000000962;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2021/03/12 12:07:23;2021/03/12 13:22:23;2021/03/12 12:07:23;2021|03|12 14:57:23;Sarah Smith;Robert Miller;
0000000972;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/03/07 05:08:26;2022/03/07 04:08:26;2022/03/07 04:23:26;2022/03/07 06:23:26;Michael Smith;David Miller;
0000000975;Jet2.com;Airbus A321;220;MAN;Dublin;2021/05/06 00:06:54;2021/05/06 02:36:54;2021/05/06 00:06:54;2021/05/06 05:36:54;Robert Davis;Jane Taylor;
0000000990;Iberia;;220;mAD;LIS;2022/02/18 17:02:46;2022/02/18 18:17:46;2022/02/18 17:02:46;2022/02/18 20:02:46;Robert Miller;Sarah Davis;
0000000995;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/09/12~13:44:47;2022/09/12 14:29:47;2022/09/12 13:44:47;2022/09/12 15:14:47;Sarah Williams;John Davis;
0000001007;Iberia;Airbus A321;220;MAD;LIS;2022/03/06 09:51:05;2022/03/06 11:06:05;2022/03/06 10:36:05;2022/03/06 13:06:05;;Sarah Davis;
0000001008;Vueling Airlines;Airbus A319;160;BCN;FCO;2023/06/22 09:23:20;2023/06/22 07:33:20;2023/06/22 07:53:20;2023/06/22 12:03:20;Laura Moore;Jane Williams;
0000001012;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/04/15 04:34:57;2021/04/15 05:34:57;2021/04/15 05:04:57;2021/04/15 07:19:57;Michael Smith;;
0000001039;Turkish Airlines;Airbus A320;200;IST;PRG;2021/04/11 04:18:41;2021/04/11 06:48:41;2021/04/11 09:18:41;2021/04/11 04:18:41;Jane Miller;Laura Taylor;We appreciate your patience during the delay.
0000001043;;Airbus A320;180;DUB;LIS;2021/02/21 10:09:42;2021/02/21 13:09:42;2021/02/21 10:29:42;2021/02/21 16:49:42;William Williams;Olivia Johnson;
0000001047;;Airbus A320;200;IST;PRG;2021/09/10 05:37:42;2021/09/10 08:07:42;2021/09/10 05:42:42;2021/09/10 10:57:42;Jane Miller;Laura Taylor;
0000001059;Austrian Airlines;Airbus A321;220;VIE;MUC;;2022/11/16 04:19:31;2022/11/16 04:14:31;2022/11/16 06:14:31;Michael Johnson;Robert Wilson;
0000001066;EasyJet;;180;LHR;CDG;2021/08/16 13:28:22;2021/08/16 14:43:22;2021/08/16 13:28:22;2021/08/16 15:58:22;Robert Miller;Laura Smith;
0000001078;Turkish Airlines;Airbus A320;200;IST;PRG;2022/08/04 08:40:40;2022/08/04 11:10:40;2022/08/04 09:10:40;2022/08/04 14:10:40;;Laura Taylor;
0000001081;Jet2.com;Airbus A321;220;MAN;PRG;2022/07/20 05:47:11;2022/07/20 08:17:11;2022/07/20 05:47:11;2022/07/20 11:32:11;Robert Davis;;We'll be landing ahead of schedule today.
0000001102;Aeroflot;Airbus A320;250;SVO;TXL;2021/04/21 16:39:05;2021/04/21 19:54:05;2021/04/21 17:24:05;2021/04/21 23:54:05;Jane Moore;;Our company values safety above all else.
0000001105;;Boeing 737;150;OSL;CPH;2023/02/03 08:55:34;2023/02/03 09:55:34;2023/02/03 08:55:34;2023/02/03 10:55:34;William Moore;Laura Taylor;
0000001109;Turkish Airlines;Airbus A320;CQV;IST;PRG;2021/03/12 03:55:31;2021/03/12 06:25:31;2021/03/12 04:40:31;2021/03/12 09:40:31;Jane Miller;Laura Taylor;
;Alitalia;Boeing 767;280;FCO;ATH;2022/11/01 10:35:20;2022/11/01 12:35:20;2022/11/01 10:35:20;2022/11/01 15:20:20;David Johnson;William Brown;
0000001138;TAP Air Portugal;Airbus A320;200;LIS;MAD;2023/01/17 03:58:22;2023/01/17 05:08:22;2023/01/17 03:58:22;2023/01/17 06:18:22;Emily Wilson;;
0000001147;Jet2.com;Airbus A321;220;MAN;PRG;2022|06|17 04:55:57;2022/06/17 07:25:57;2022/06/17 05:40:57;2022/06/17 11:10:57;Robert Davis;Jane Taylor;
0000001152;Norwegian Air Shuttle;Boeing 737;150;Stockholm;CPH;2023/05/18 06:03:03;2023/05/18 07:03:03;2023/05/18 06:03:03;2023/05/18 08:03:03;William Moore;Laura Taylor;
0000001157;Ryanair;Boeing 737;189;DUB;BCN;2023/05/09 06:26:39;2023/05/09 03:41:39;2023/05/09 03:46:39;2023/05/09 09:16:39;Sarah Brown;David Wilson;
0000001173;LOT Polish Airlines;Embraer E190;100;Zurich;BUD;2022/09/09 04:37:44;2022/09/09 05:52:44;2022/09/09 04:37:44;2022/09/09 07:07:44;Sarah Smith;Robert Miller;The flight attendants are preparing for landing.
0000001185;Lufthansa;Boeing 777;300;FRA;MAD;2021/01/09 00:41:52;2021/01/09 03:11:52;2021/01/09 06:11:52;2021/01/09 00:41:52;John Johnson;David Brown;
;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/07/03 17:01:39;2022/07/03 17:46:39;2022/07/03 17:31:39;2022/07/03 19:01:39;Sarah Williams;John Davis;
0000001207;Iberia;Airbus A321;220;MAD;LIS;2021|02|03 01:55:42;2021/02/03 03:10:42;2021/02/03 02:40:42;2021/02/03 05:10:42;Robert Miller;Sarah Davis;
0000001213;Swiss International Air Lines;Airbus A319;140;Zrh;Budapest;2021/03/08 16:48:54;2021/03/08 17:33:54;2021/03/08 16:48:54;2021/03/08 18:18:54;Sarah Williams;John Davis;Thank you for choosing our airline for your journey.
0000001231;Scandinavian Airlines (SAS);Boeing 737;160;Vienna;HEL;2022/09/01 14:10:34;2022/09/01 15:20:34;2022/09/01 14:10:34;2022/09/01 16:50:34;Jane Smith;Sarah Johnson;
0000001235;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/11/09 14:54:41;2021/11/09 15:54:41;2021/11/09 15:09:41;2021|11|09 17:24:41;William Moore;Laura Taylor;
0000001240;British Airways;Boeing 737;150;LHR;AMS;2022/10/02 08:08:27;2022/10/02 09:18:27;2022/10/02 08:08:27;2022/10/02 11:13:27;;Sarah Smith;
0000001245;Iberia;Airbus A321;220;MAD;LIS;2022/03/16 09:56:46;2022/03/16 08:41:46;2022/03/16 08:41:46;2022/03/16 11:56:46;Robert Miller;Sarah Davis;
0000001254;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;13/02/2020;2021/01/20 16:36:29;2021/01/20 16:36:29;2021/01/20 18:06:29;Sarah Williams;John Davis;The ground crew is handling baggage efficiently.
0000001265;Ryanair;;189;DUB;Txl;2022/03/20 15:16:55;2022/03/20 17:16:55;2022/03/20 15:31:55;2022/03/20 19:31:55;Emily Davis;Sarah Williams;
0000001285;British Airways;Boeing 737;150;LHR;AMS;;2022/04/21 12:36:52;2022/04/21 11:41:52;2022/04/21 14:06:52;Robert Taylor;Sarah Smith;
0000001287;Vueling Airlines;Airbus A319;160;BCN;Warsaw;2023/01/22 00:19:57;2023/01/22 02:09:57;2023/01/22 00:49:57;2023/01/22 04:59:57;Laura Moore;Jane Williams;
0000001289;British Airways;Boeing 737;150;LHR;AMS;2021/11/16 10:24:33;2021/11/16 09:14:33;2021/11/16 09:34:33;2021/11/16 11:54:33;Robert Taylor;Sarah Smith;
0000001297;EasyJet;Airbus A320;180;LHR;CDG;2021/05/04 08:26:56;2021/05/04 09:41:56;2021/05/04 08:41:56;2021/05/04 11:56:56;Robert Miller;;
